GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US00501,00501,"ZIP 00501 (Holtsville, NY)",00,Total for all sectors,2010,2,a,D,D
8610000US01001,01001,"ZIP 01001 (Agawam, MA)",00,Total for all sectors,2010,448,9185,70693,314508
8610000US01002,01002,"ZIP 01002 (Amherst, MA)",00,Total for all sectors,2010,570,15633,82069,351589
8610000US01003,01003,"ZIP 01003 (Amherst, MA)",00,Total for all sectors,2010,16,168,1297,5761
8610000US01004,01004,"ZIP 01004 (Amherst, MA)",00,Total for all sectors,2010,21,189,1710,7241
8610000US01005,01005,"ZIP 01005 (Barre, MA)",00,Total for all sectors,2010,96,926,5698,24382
8610000US01007,01007,"ZIP 01007 (Belchertown, MA)",00,Total for all sectors,2010,238,1740,10479,47376
8610000US01008,01008,"ZIP 01008 (Blandford, MA)",00,Total for all sectors,2010,21,370,751,2899
8610000US01009,01009,"ZIP 01009 (Bondsville, MA)",00,Total for all sectors,2010,15,130,1149,4965
8610000US01010,01010,"ZIP 01010 (Brimfield, MA)",00,Total for all sectors,2010,75,335,2540,12366
8610000US01011,01011,"ZIP 01011 (Chester, MA)",00,Total for all sectors,2010,17,47,251,1432
8610000US01012,01012,"ZIP 01012 (Chesterfield, MA)",00,Total for all sectors,2010,13,84,436,2189
8610000US01013,01013,"ZIP 01013 (Chicopee, MA)",00,Total for all sectors,2010,324,4713,40135,176546
8610000US01014,01014,"ZIP 01014 (Chicopee, MA)",00,Total for all sectors,2010,3,10,95,381
8610000US01020,01020,"ZIP 01020 (Chicopee, MA)",00,Total for all sectors,2010,532,7648,57084,252596
8610000US01021,01021,"ZIP 01021 (Chicopee, MA)",00,Total for all sectors,2010,8,226,1221,5803
8610000US01022,01022,"ZIP 01022 (Chicopee, MA)",00,Total for all sectors,2010,63,2609,27298,113794
8610000US01026,01026,"ZIP 01026 (Cummington, MA)",00,Total for all sectors,2010,16,122,842,4005
8610000US01027,01027,"ZIP 01027 (Easthampton, MA)",00,Total for all sectors,2010,370,4224,31214,134788
8610000US01028,01028,"ZIP 01028 (East Longmeadow, MA)",00,Total for all sectors,2010,495,7468,75536,325865
8610000US01029,01029,"ZIP 01029 (East Otis, MA)",00,Total for all sectors,2010,15,141,765,4265
8610000US01030,01030,"ZIP 01030 (Feeding Hills, MA)",00,Total for all sectors,2010,179,899,4901,25728
8610000US01031,01031,"ZIP 01031 (Gilbertville, MA)",00,Total for all sectors,2010,21,b,317,1520
8610000US01032,01032,"ZIP 01032 (Goshen, MA)",00,Total for all sectors,2010,23,88,729,3514
8610000US01033,01033,"ZIP 01033 (Granby, MA)",00,Total for all sectors,2010,116,493,3074,15857
8610000US01034,01034,"ZIP 01034 (Granville, MA)",00,Total for all sectors,2010,29,73,602,3205
8610000US01035,01035,"ZIP 01035 (Hadley, MA)",00,Total for all sectors,2010,298,4826,32573,139356
