type,facility_name,zip
METRO JAIL,AUTAUGA METRO JAIL,36067
COUNTY JAIL,BALDWIN COUNTY JAIL,36507
COUNTY JAIL,BARBOUR COUNTY JAIL,36016
COUNTY JAIL,BIBB COUNTY JAIL,35034
CORRECTIONAL FACILITY,BLOUNT COUNTY CORRECTIONAL FACILITY,35121
COUNTY JAIL,BULLOCK COUNTY JAIL,36089
COUNTY JAIL,BUTLER COUNTY JAIL,36037
COUNTY JAIL,CALHOUN COUNTY JAIL,36201
DETENTION CENTER,CHAMBERS COUNTY DETENTION FACILITY,36862
DETENTION CENTER,CHEROKEE COUNTY DETENTION CENTER,35960
COUNTY JAIL,CHILTON COUNTY JAIL,35045
COUNTY JAIL,CHOCTAW COUNTY JAIL,36904
COUNTY JAIL,CLARKE COUNTY JAIL,36451
COUNTY JAIL,CLAY COUNTY JAIL,36251
COUNTY JAIL,CLEBURNE COUNTY JAIL,36264
COUNTY JAIL,COFFEE COUNTY JAIL,36351
COUNTY JAIL,COLBERT COUNTY JAIL,35674
COUNTY JAIL,CONECUH COUNTY JAIL,36401
COUNTY JAIL,COOSA COUNTY JAIL,35136
COUNTY JAIL,COVINGTON COUNTY JAIL,36420
COUNTY JAIL,CRENSHAW COUNTY JAIL,36049
COUNTY JAIL,CULLMAN COUNTY JAIL,35055
COUNTY JAIL,DALE COUNTY JAIL,36360
COUNTY JAIL,DALLAS COUNTY JAIL,36703
COUNTY JAIL,DE KALB COUNTY JAIL,35967
COUNTY JAIL,ELMORE COUNTY JAIL,36092
DETENTION CENTER,ESCAMBIA COUNTY DETENTION CENTER,36426
DETENTION CENTER,ETOWAH COUNTY DETENTION CENTER,35901
COUNTY JAIL,FAYETTE COUNTY JAIL,35555
COUNTY JAIL,FRANKLIN COUNTY JAIL,35654
COUNTY JAIL,GENEVA COUNTY JAIL,36340
COUNTY JAIL,GREENE COUNTY JAIL,35462
COUNTY JAIL,HALE COUNTY JAIL,36744
COUNTY JAIL,HENRY COUNTY JAIL,36310
COUNTY JAIL,HOUSTON COUNTY JAIL,36303
COUNTY JAIL,JACKSON COUNTY JAIL,35768
COUNTY JAIL,JEFFERSON COUNTY,35203
COUNTY JAIL,LAMAR COUNTY JAIL,35592
COUNTY JAIL,LAUDERDALE COUNTY,35630
COUNTY JAIL,LAWRENCE COUNTY JAIL,35650
DETENTION CENTER,LEE COUNTY DETENTION CENTER,36803
COUNTY JAIL,LIMESTONE COUNTY JAIL,35611
COUNTY JAIL,LOWDNES COUNTY JAIL,36040
LAW ENFORCEMENT CENTER,MACON COUNTY LAW ENFORCEMENT CENTER,36083
DETENTION CENTER,MADISON COUNTY DETENTION FACILITY,35801
DETENTION CENTER,MARENGO COUNTY DETENTION CENTER,36748
COUNTY JAIL,MARION COUNTY JAIL,35570
COUNTY JAIL,MARSHALL COUNTY JAIL,35976
COUNTY JAIL,MOBILE COUNTY JAIL,36603
COUNTY JAIL,MONROE COUNTY JAIL,36460
DETENTION CENTER,MONTGOMERY COUNTY DETENTION FACILITY,36104
COUNTY JAIL,MORGAN COUNTY JAIL,35602
COUNTY JAIL,PERRY COUNTY JAIL,36756
COUNTY JAIL,PICKENS COUNTY JAIL,35447
COUNTY JAIL,PIKE COUNTY JAIL,36081
COUNTY JAIL,RANDOLPH COUNTY JAIL,36278
