GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 5 minutes,Margin of Error; Total: - Less than 5 minutes,Estimate; Total: - 5 to 9 minutes,Margin of Error; Total: - 5 to 9 minutes,Estimate; Total: - 10 to 14 minutes,Margin of Error; Total: - 10 to 14 minutes,Estimate; Total: - 15 to 19 minutes,Margin of Error; Total: - 15 to 19 minutes,Estimate; Total: - 20 to 24 minutes,Margin of Error; Total: - 20 to 24 minutes,Estimate; Total: - 25 to 29 minutes,Margin of Error; Total: - 25 to 29 minutes,Estimate; Total: - 30 to 34 minutes,Margin of Error; Total: - 30 to 34 minutes,Estimate; Total: - 35 to 39 minutes,Margin of Error; Total: - 35 to 39 minutes,Estimate; Total: - 40 to 44 minutes,Margin of Error; Total: - 40 to 44 minutes,Estimate; Total: - 45 to 59 minutes,Margin of Error; Total: - 45 to 59 minutes,Estimate; Total: - 60 to 89 minutes,Margin of Error; Total: - 60 to 89 minutes,Estimate; Total: - 90 or more minutes,Margin of Error; Total: - 90 or more minutes
0500000US01003,01003,"Baldwin County, Alabama",72896,3206,2918,1107,6122,1488,9330,1713,9960,1917,11579,2203,4595,1097,11349,1981,1577,692,3650,1406,5477,1306,4320,1182,2019,716
0500000US01015,01015,"Calhoun County, Alabama",41396,2634,3645,1160,2700,737,7704,1497,7048,1601,5778,1153,3286,984,4988,1183,1606,486,825,402,2580,765,1073,469,163,208
0500000US01043,01043,"Cullman County, Alabama",28608,2760,903,471,3808,1142,4920,1177,5016,1160,4313,1119,1527,749,2520,922,286,269,523,346,2173,765,1745,742,874,433
0500000US01049,01049,"DeKalb County, Alabama",26537,1904,840,453,3913,1431,4178,1072,4489,883,2795,841,2781,1083,3248,1331,389,304,412,340,1880,805,862,463,750,527
0500000US01051,01051,"Elmore County, Alabama",33226,2727,925,506,2163,890,1756,591,4242,1011,5352,1264,3039,929,6982,1486,1511,561,1827,753,3877,1033,822,451,730,377
0500000US01055,01055,"Etowah County, Alabama",36590,2976,340,272,4110,1136,6107,1305,9198,1781,5328,1179,1486,644,3499,999,342,204,666,350,2624,818,2133,700,757,456
0500000US01069,01069,"Houston County, Alabama",44014,1528,1184,329,5463,803,10641,1016,8729,908,6868,745,1422,329,5882,920,398,121,473,191,1846,492,553,202,555,234
0500000US01073,01073,"Jefferson County, Alabama",277284,6024,4561,1160,19272,2161,38457,3576,51621,3601,56447,3670,17453,1962,47271,3625,8020,1463,7512,1366,15896,2356,7701,1527,3073,908
0500000US01077,01077,"Lauderdale County, Alabama",37930,2034,934,498,5072,1520,6267,1248,6418,1419,3155,965,2110,763,5201,1078,1134,666,1470,720,3244,911,2274,920,651,372
0500000US01081,01081,"Lee County, Alabama",60751,2348,1897,742,8922,1563,10729,1581,11103,1581,8593,1490,3842,1092,7235,1429,1215,507,602,362,3522,920,1713,621,1378,653
0500000US01083,01083,"Limestone County, Alabama",33207,1962,1057,536,2583,723,4412,1214,5124,1019,6321,1514,1939,605,4791,1121,975,440,1729,591,2535,676,1659,539,82,149
0500000US01089,01089,"Madison County, Alabama",150570,4264,3332,929,14020,2137,20616,2246,33749,3194,33067,3131,13188,2066,18958,1973,2641,819,2689,713,4986,1187,1677,592,1647,816
0500000US01095,01095,"Marshall County, Alabama",36711,1919,1722,767,5369,1477,6040,1075,5103,1339,3146,1199,791,477,3976,1292,1854,690,1069,485,4658,1306,1853,692,1130,977
0500000US01097,01097,"Mobile County, Alabama",162973,4863,3788,1328,12801,1839,22668,2417,29889,3218,31251,2927,10832,2081,25063,2725,3815,1125,4646,1165,10348,2375,5286,1209,2586,740
0500000US01101,01101,"Montgomery County, Alabama",95288,3752,1259,721,10185,1730,16106,2431,25209,2589,17966,2109,6579,1473,9465,1511,1231,522,1473,866,2632,863,1300,551,1883,683
0500000US01103,01103,"Morgan County, Alabama",51199,2603,1716,638,5467,1406,8990,1696,6698,1149,6226,1387,2939,716,7934,1912,2282,874,2942,1075,4417,1180,1218,495,370,285
0500000US01115,01115,"St. Clair County, Alabama",35067,2412,663,381,1942,673,2898,921,3837,1169,4654,1070,2796,1161,6215,1313,2384,823,1345,761,6331,1225,1344,593,658,449
0500000US01117,01117,"Shelby County, Alabama",90212,3174,2652,848,6875,1425,8460,1576,10761,1742,11296,1765,5272,1183,16935,1972,4568,1315,4660,1065,10689,1593,5598,1096,2446,764
0500000US01121,01121,"Talladega County, Alabama",26193,2474,1051,454,3676,1178,4187,1192,3548,975,3692,1041,3024,948,2764,760,663,492,574,492,865,486,1452,822,697,517
0500000US01125,01125,"Tuscaloosa County, Alabama",81598,3854,1676,633,8351,1646,12341,1977,18147,2719,17920,2556,4961,1243,8121,1703,789,537,2133,898,3869,969,2328,750,962,480
0500000US01127,01127,"Walker County, Alabama",21541,2102,540,390,1539,726,2820,824,3900,1013,2011,711,901,368,2802,927,550,342,1028,567,2728,818,2115,629,607,429
0500000US02020,02020,"Anchorage Municipality, Alaska",145453,3840,5232,1364,16739,2294,30143,3194,32638,3167,25257,2659,8804,1668,13829,2124,2849,1154,2013,751,4402,1335,1598,698,1949,781
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",46154,2765,2663,1111,7950,1881,9468,2021,7792,1654,6582,1664,3075,1148,4584,1355,712,486,740,484,1572,1090,334,252,682,443
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",35576,1988,1307,540,4024,766,4789,986,5738,1202,2732,627,1138,567,2888,964,492,287,806,336,4745,1177,5069,972,1848,682
0500000US04001,04001,"Apache County, Arizona",16451,1490,1784,624,1655,647,1192,426,1644,579,1436,481,1008,566,3031,725,256,242,518,385,1711,613,1263,559,953,435
0500000US04003,04003,"Cochise County, Arizona",49995,2987,2991,1238,7806,1568,10362,1984,10229,2314,6210,1272,2534,1043,3242,923,944,625,1119,635,1816,685,2081,908,661,567
0500000US04005,04005,"Coconino County, Arizona",54016,3898,4248,1354,10879,2016,12601,2165,7530,1806,6863,1485,1566,792,4503,1534,293,206,510,421,2016,778,1939,799,1068,591
0500000US04013,04013,"Maricopa County, Arizona",1549932,13532,30674,3497,123446,6603,194835,7126,237537,10085,245570,8595,113537,6429,274771,10093,50678,3865,73897,5042,121501,5988,62777,4818,20709,2495
0500000US04015,04015,"Mohave County, Arizona",69277,3435,3053,980,10111,1582,15056,2304,17191,2559,9830,2054,3385,1301,4021,1167,909,561,1248,758,1201,604,2465,1048,807,385
0500000US04017,04017,"Navajo County, Arizona",30648,2214,3023,1045,7002,1418,3970,1096,4106,1353,3651,1580,1488,697,2674,1118,973,729,348,217,900,506,1274,502,1239,651
0500000US04019,04019,"Pima County, Arizona",387530,8010,8750,1995,34498,3418,54435,4611,66243,4144,68033,4303,29486,2985,59453,4562,10479,1691,13793,2128,25471,2797,10701,1892,6188,1418
0500000US04021,04021,"Pinal County, Arizona",121541,5773,3597,1251,14373,2558,13597,2712,9910,2044,10811,2134,4808,1258,17613,2810,4092,1291,8896,1972,17467,2951,12461,1958,3916,1295
0500000US04025,04025,"Yavapai County, Arizona",71099,5460,3694,1207,11289,2110,11368,1860,10624,1765,10017,1791,4249,1380,9162,2175,1288,800,2131,1278,3662,1141,1619,789,1996,792
0500000US04027,04027,"Yuma County, Arizona",66820,3365,1525,502,10220,1971,15007,1995,12820,2401,9553,1866,3045,874,7899,1906,462,350,1475,868,2112,867,1719,636,983,519
0500000US05007,05007,"Benton County, Arkansas",97137,3899,2908,1085,9858,1904,14728,2035,19129,2507,15364,2887,10562,2094,12332,1912,1804,701,2347,749,5288,1246,1650,1013,1167,633
0500000US05031,05031,"Craighead County, Arkansas",39455,2067,2008,782,6227,1585,9102,1447,8721,1332,5401,1176,2773,1007,1731,659,579,405,394,324,970,432,980,579,569,339
0500000US05045,05045,"Faulkner County, Arkansas",50626,2826,2233,720,6376,1549,8933,1789,7904,1821,5409,1210,2687,973,5803,1184,1840,797,2336,735,4320,1395,2059,718,726,472
0500000US05051,05051,"Garland County, Arkansas",35889,2445,663,511,5543,1321,5696,1265,7675,1373,4855,984,2278,896,4073,1052,721,474,752,570,1102,560,1896,990,635,468
0500000US05069,05069,"Jefferson County, Arkansas",28366,4218,769,437,3286,1238,6576,1585,6119,1606,3888,1368,1181,633,2815,1114,440,343,494,290,1550,639,895,562,353,273
0500000US05085,05085,"Lonoke County, Arkansas",31432,1852,1979,1406,2551,731,3377,1087,4027,923,4393,1004,3959,1139,4422,1060,1882,802,1476,619,2121,602,592,275,653,442
0500000US05119,05119,"Pulaski County, Arkansas",173018,5546,4689,1425,19269,2502,30192,3112,40853,3904,34431,3359,10289,2056,20796,2407,2564,1028,2409,786,3881,1064,2535,1086,1110,389
0500000US05125,05125,"Saline County, Arkansas",47603,3119,555,344,4248,1213,4548,1192,5825,1404,7403,1100,5991,1378,9526,2011,2014,803,2270,814,3540,1176,687,350,996,578
0500000US05131,05131,"Sebastian County, Arkansas",54287,2609,3654,1213,6733,1398,13772,2157,11839,1917,7269,1198,2705,922,5133,1397,918,483,719,620,606,284,674,410,265,207
0500000US05143,05143,"Washington County, Arkansas",91066,3777,4132,1055,11660,1808,16476,1975,17219,2289,14256,1909,6388,1679,11585,1726,2095,967,1533,645,3391,1165,921,425,1410,626
0500000US05145,05145,"White County, Arkansas",31726,2669,1119,482,4943,1112,6792,1625,3728,992,4397,1383,1551,1124,2332,718,870,503,1467,637,2137,688,1965,703,425,281
0500000US06001,06001,"Alameda County, California",638082,8988,10242,1819,42423,3271,81793,4938,97927,5465,87716,5278,35979,3389,107504,6177,22628,3035,32278,2966,61845,4050,47349,3223,10398,1689
0500000US06007,06007,"Butte County, California",79372,3506,3882,1153,15444,2307,17745,2480,13219,2260,8104,1849,4365,1255,7255,1400,1230,573,1792,850,2397,641,1748,797,2191,781
0500000US06013,06013,"Contra Costa County, California",434987,9251,6947,1407,33430,3072,52915,4454,52678,3943,47972,4160,21734,2914,57421,4303,13978,2178,20438,2260,51134,3220,57344,4276,18996,2589
0500000US06017,06017,"El Dorado County, California",72128,3396,2918,925,7761,1441,9936,1992,9838,1799,8800,1682,4597,1240,7911,1838,2869,915,2655,1046,5986,1098,4633,1051,4224,1196
0500000US06019,06019,"Fresno County, California",332666,7121,10183,1886,31857,3451,46415,4185,83833,5326,52769,4266,21792,2437,43863,4272,5315,1330,7823,1920,11713,2066,11267,2294,5836,1162
0500000US06023,06023,"Humboldt County, California",56483,2905,4293,1212,11141,1945,12274,1793,8566,1425,9279,1732,3029,912,3265,1109,514,344,1015,497,929,399,2016,857,162,143
0500000US06025,06025,"Imperial County, California",51835,2478,1907,746,6225,1212,11780,1625,8874,1866,8824,1610,3110,943,5370,1296,547,379,692,435,2283,1032,743,394,1480,629
0500000US06029,06029,"Kern County, California",290869,5895,10592,2031,34991,3196,56251,4070,49592,3675,45042,4256,12882,1745,32609,3569,4758,1079,5292,956,13644,2327,15025,2278,10191,2439
0500000US06031,06031,"Kings County, California",53625,2921,772,301,7230,1264,10962,2113,7948,1691,11216,1875,3028,957,4056,1028,1557,700,1375,441,4417,1375,672,456,392,262
0500000US06033,06033,"Lake County, California",17696,1756,1499,784,2273,1022,3074,955,1455,605,2429,927,720,668,1769,703,168,203,509,367,1347,846,2180,872,273,273
0500000US06037,06037,"Los Angeles County, California",4068250,23793,61641,5121,275502,9961,478737,12821,577279,13890,598503,12893,212541,7642,705344,15776,117998,5993,188992,7797,392051,10374,342417,10150,117245,5342
0500000US06039,06039,"Madera County, California",39213,2969,975,500,4721,1359,7624,1658,4824,1264,4876,1568,1763,818,4828,1160,1118,583,2570,1003,2662,815,1899,856,1353,685
0500000US06041,06041,"Marin County, California",106744,3600,2622,675,9959,2055,14565,1904,14417,2375,11307,1777,5860,1487,14777,2409,3381,833,4710,1064,13635,2247,9828,1741,1683,667
0500000US06045,06045,"Mendocino County, California",31490,2735,2352,737,7472,1338,7964,1559,3338,1046,3191,1074,1130,492,1988,803,411,294,589,375,809,526,1676,634,570,377
0500000US06047,06047,"Merced County, California",88755,3889,3934,1316,12047,2344,18229,2533,15899,1862,10895,1722,2284,897,7467,1606,842,451,1615,673,4592,1493,4773,1371,6178,1384
0500000US06053,06053,"Monterey County, California",168597,5552,3092,897,20472,2225,28558,3222,34236,3329,30583,3666,8351,2275,19723,2201,3448,1094,4529,1082,7164,1263,6041,1343,2400,800
0500000US06055,06055,"Napa County, California",58144,3285,1814,668,9314,1646,12519,1930,7914,1464,4728,1234,1887,581,7127,1572,1658,993,1399,599,3408,980,4656,1223,1720,701
0500000US06057,06057,"Nevada County, California",36567,2430,1676,898,5808,1500,5583,1472,6374,1671,5649,1355,2216,1161,3271,1084,319,249,1255,662,1695,684,1231,608,1490,773
0500000US06059,06059,"Orange County, California",1324262,11983,18385,2252,100226,5313,185372,6836,212628,7150,226500,8890,81804,4507,215185,8959,34801,2964,54126,3154,91749,4836,75420,4600,28066,3048
0500000US06061,06061,"Placer County, California",138247,3882,5241,1449,15404,2425,24028,2558,17700,2280,17262,2303,7537,1760,15221,2019,4862,1271,6974,1630,11708,1886,6441,1376,5869,1412
0500000US06065,06065,"Riverside County, California",798878,11423,21319,3040,68333,4767,106717,6417,111321,5623,90631,5906,36628,3511,102950,5907,20059,2773,30291,2951,75669,5747,85912,5049,49048,4257
0500000US06067,06067,"Sacramento County, California",550510,8954,14738,2436,42681,3716,73083,4681,89043,4971,88824,5791,40756,3386,87017,4826,14389,1921,22394,2623,36264,2839,26379,2836,14942,2289
