type,facility_name,state,zip
State Correctional Facility,Bibb Correctional Facility,Alabama,35034
State Correctional Facility,Bullock Correctional Facility,Alabama,36089
State Correctional Facility,Donaldson Correctional Facility,Alabama,35023-7299
State Correctional Facility,Draper Correctional Facility,Alabama,36025
State Correctional Facility,Easterling Correctional Facility,Alabama,36017-2615
State Correctional Facility,Elmore Correction Facility,Alabama,36025
State Correctional Facility,Fountain Correctional Facility,Alabama,36503-3800
State Correctional Facility,Hamilton Aged & Infirmed,Alabama,35570
State Correctional Facility,Holman Correctional Facility,Alabama,36503-3700
State Correctional Facility,Kilby Correctional Facility,Alabama,36117
State Correctional Facility,Limestone Correctional Facility,Alabama,35749
State Correctional Facility,St Clair Correctional Facility,Alabama,35146
State Correctional Facility,Staton Correctional Facility,Alabama,36025
State Correctional Facility,Tutwiler Prison for Women,Alabama,36092
State Correctional Facility,Ventress Correctional Facility,Alabama,36016
Contract Facility,ATEF,Alabama,35051
Contract Facility,Perry County Detention Facility,Alabama,36786
Work Releases/ Work Centers/ Camps,Alex City Work Release Center,Alabama,35010
Work Releases / Work Centers/ Camps,Atmore Work Release Center,Alabama,36503
Work Releases/ Work Centers/ Camps,Birmingham Work Release Center,Alabama,35234-3196
Work Releases/ Work Centers/ Camps,Camden Work Release Center,Alabama,36726
Work Releases/ Work Centers/ Camps,Childersburg Work Release Center,Alabama,35044
Work Releases/ Work Centers/ Camps,Decatur Work Release Center,Alabama,35601
Work Releases/ Work Centers/ Camps,Elba Work Release Center,Alabama,36323
Work Releases/ Work Centers/ Camps,Frank Lee Youth Center,Alabama,36022
Work Releases / Work Centers / Camps,Hamilton Work Release Center,Alabama,35570
Work Releases/ Work Centers/ Camps,Loxley Work Release Center,Alabama,36551
Work Releases/ Work Centers/ Camps,Mobile Work Release Center,Alabama,36610
Work Releases/ Work Centers/ Camps,Montgomery Women's Facility,Alabama,36117
Work Releases/ Work Centers/ Camps,Red Eagle Honor Farm,Alabama,36110
State Correctional Facility,Anchorage Correctional Complex,Alaska,99501
State Correctional Facility,Anvil Mountain Correctional Center,Alaska,99762
State Correctional Facility,Fairbanks Correctional Center,Alaska,99701
State Correctional Facility,Goose Creek Correctional Center,Alaska,99654
State Correctional Facility,Hiland Mountain Correctional Center,Alaska,99577
State Correctional Facility,Ketchikan Correctional Center,Alaska,99901-6270
State Correctional Facility,Lemon Creek Correctional Center,Alaska,99801
State Correctional Facility,Mat-Su Pretrial,Alaska,99645
State Correctional Facility,Palmer Correctional Center,Alaska,99645
State Correctional Facility,Point Mackenzie Correctional Farm,Alaska,99654
State Correctional Facility,Spring Creek Correctional Center,Alaska,99664
State Correctional Facility,Wildwood Correctional Complex,Alaska,99611
State Correctional Facility,Yukon Kuskokwim Correctional Center,Alaska,99559
State Correctional Facility,ASPC - Perryville,Arizona,85395
State Correctional Facility,ASPC - Lewis,Arizona,85326
State Correctional Facility,ASPC - Yuma,Arizona,85349
State Correctional Facility,ASPC - Douglas,Arizona,85607
State Correctional Facility,ASPC - Tucson,Arizona,85734
State Correctional Facility,ASPC - Safford,Arizona,85546
State Correctional Facility,ASPC - Eyman,Arizona,85132
State Correctional Facility,ASPC - Florence,Arizona,85132
State Correctional Facility,ASPC - Phoenix,Arizona,85008
State Correctional Facility,ASPC - Winslow,Arizona,86047
Contract Facility,ASP - Phoenix West,Arizona,85009
Contract Facility,Marana CCTF,Arizona,85653
Contract Facility,ASP - Florence West,Arizona,85132
Contract Facility,ASP - Kingman,Arizona,86414
Contract Facility,Central ArizonaCorrectional Facility,Arizona,85132
Contract Facility,Eloy Detention Center,Arizona,85131
Contract Facility,Florence Correctional Center,Arizona,85132
Contract Facility,Central Arizona Detention Center,Arizona,85132
Contract Facility,La Palma Correctional Center,Arizona,85131
Contract Facility,Saguaro Correctional Center,Arizona,85131
Contract Facility,Red Rock Correctional Center,Arizona,85131
State Correctional Facility,Cummins Unit,Arkansas,71643
State Correctional Facility,Delta Regional Unit,Arkansas,71638
State Correctional Facility,East Arkansas Regional Unit,Arkansas,
State Correctional Facility,Grimes Unit,Arkansas,72112
State Correctional Facility,J. Aaron Hawkins Sr. Center,Arkansas,
State Correctional Facility,Maximum Security Unit,Arkansas,
State Correctional Facility,McPherson Unit,Arkansas,72112
Work Release Center,Mississippi County Work Release Center,Arkansas,
State Correctional Facility,North Central Unit,Arkansas,72519
Work Release Center,Northwest Arkansas Work Release Center,Arkansas,72764
State Correctional Facility,Ouachita River Unit,Arkansas,
State Correctional Facility,Pine Bluff Unit,Arkansas,71603
State Correctional Facility,Randall L. Williams Correctional Facility,Arkansas,71603
State Correctional Facility,Texarkana Regional Correction Center,Arkansas,71854
State Correctional Facility,Tucker Unit,Arkansas,
State Correctional Facility,Varner Unit,Arkansas,
State Correctional Facility,Wrightsville Unit,Arkansas,
State Correctional Facility,Pelican Bay State Prison (PBSP),California,95531
State Correctional Facility,High Desert State Prison (HDSP),California,96127
State Correctional Facility,California Correctional Center (CCC),California,96127
State Correctional Facility,San Quentin State Prison,California,94964
State Medical Facility,California Medical Facility (CMF),California,95696
State Correctional Facility,"California State Prison, Solano (SOL)",California,95696
State Correctional Facility,Folsom State Prison (FSP),California,95671
State Correctional Facility,"California State Prison, Sacramento (SAC)",California,95671
State Correctional Facility,Mule Creek State Prison (MCSP),California,95640
Youth Correctional Facility,N.A. Chaderjian Youth Correctional Facility,California,95215
Youth Correctional Facility,O.H. Close Youth Correctional Facility,California,95215
State Correctional Facility,"California Health Care Facility, Stockton",California,95215
State Correctional Facility,Deuel Vocational Institution (DVI),California,95376
State Correctional Facility,Sierra Conservation Center (SCC),California,95327
State Correctional Facility,Correctional Training Facility (CTF),California,93960
State Correctional Facility,Salinas Valley State Prison (SVSP),California,93960
State Correctional Facility,Central California Women's Facility (CCWF),California,93610
State Correctional Facility,Valley State Prison (VSP),California,93610
State Correctional Facility,Pleasant Valley State Prison (PVSP),California,93210
State Correctional Facility,Avenal State Prison (ASP),California,93204
State Medical Facility,"California Substance Abuse Treatment Facility and State Prison, Corcoran (SATF-CSP, Corcoran)",California,93212
State Correctional Facility,"California State Prison, Corcoran (CSP-COR)",California,93212
State Correctional Facility,California Men's Colony (CMC),California,93409
State Correctional Facility,Wasco State Prison-Reception Center (WSP),California,93280
State Correctional Facility,North Kern State Prison (NKSP),California,93215
State Correctional Facility,Kern Valley State Prison (KVSP),California,93216
State Correctional Facility,California Correctional Institution (CCI),California,93561
State Correctional Facility,"California State Prison, Los Angeles County (LAC)",California,93536
